epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
1,0.0001,4.2181,3.1636,1.0545,22.96,4.4694,30
2,0.0002,3.9505,2.9629,0.9876,21.24,4.3011,30
3,0.0003,3.9005,2.9254,0.9751,26.71,4.2963,30
4,0.0004,3.6283,2.7212,0.9071,27.5,4.0727,30
5,0.0005,3.6298,2.7223,0.9074,27.46,3.9744,30
6,0.00049986,3.3882,2.5411,0.847,32.17,3.7075,30
7,0.00049945,3.2578,2.4433,0.8144,34.1,3.7645,30
8,0.00049877,3.3152,2.4864,0.8288,37.79,3.5755,30
9,0.00049782,3.1372,2.3529,0.7843,36.18,3.6722,30
10,0.0004966,2.881,2.1608,0.7203,37.09,3.4231,30
11,0.0004951,2.8131,2.1098,0.7033,38.63,3.3225,30
12,0.00049334,2.6987,2.024,0.6747,42.11,3.459,30
13,0.00049132,2.6812,2.0109,0.6703,43.59,3.1562,30
14,0.00048903,2.6115,1.9586,0.6529,48.23,3.1038,30
15,0.00048648,2.5395,1.9046,0.6349,48.7,2.8054,30
16,0.00048367,2.406,1.8045,0.6015,48.02,2.9468,30
17,0.00048061,2.349,1.7618,0.5873,50.49,2.9782,30
18,0.0004773,2.2984,1.7238,0.5746,54.29,2.9093,30
19,0.00047373,2.1576,1.6182,0.5394,52.78,2.7655,30
20,0.00046993,2.1228,1.5921,0.5307,53.69,2.3958,30
21,0.00046588,2.1124,1.5843,0.5281,52.69,2.7658,30
22,0.0004616,1.8415,1.3811,0.4604,56.29,2.3831,30.46
23,0.00045709,1.9249,1.4436,0.4812,55.84,2.4634,32.29
24,0.00045235,1.8636,1.3977,0.4659,63.01,2.5327,33.44
25,0.00044739,1.737,1.3027,0.4342,58.86,2.2755,34.85
26,0.00044222,1.6923,1.2692,0.4231,62.25,2.3912,37.52
27,0.00043683,1.6949,1.2712,0.4237,58.87,2.247,39.8
28,0.00043124,1.6394,1.2295,0.4098,62.26,2.2914,41.04
29,0.00042546,1.4414,1.081,0.3603,67.61,2.2852,42.77
30,0.00041948,1.5157,1.1367,0.3789,64.68,2.0871,43.88
31,0.00041332,1.3469,1.0101,0.3367,65.11,1.8899,46.95
32,0.00040698,1.3778,1.0333,0.3444,65.54,2.1554,48.54
33,0.00040047,1.3717,1.0287,0.3429,67.31,1.9373,49.71
34,0.0003938,1.3026,0.9769,0.3256,67.02,1.9502,51.45
35,0.00038696,1.2546,0.941,0.3137,70.01,1.9532,53.23
36,0.00037998,1.1794,0.8846,0.2949,68.12,1.8868,54.98
37,0.00037286,1.2017,0.9013,0.3004,73.36,1.9611,56.51
38,0.0003656,1.2446,0.9335,0.3112,72.4,1.8347,58.43
39,0.00035822,1.1333,0.85,0.2833,69.47,1.6781,59.59
40,0.00035072,1.0869,0.8152,0.2717,70.94,1.7177,60.88
41,0.00034311,1.1471,0.8603,0.2868,71.33,1.6112,62.04
